transformed_column,original_feature,coefficient_log_odds,abs_coefficient,direction
capital-gain,capital-gain,2.2900374597813755,2.2900374597813755,increases P(>50K)
occupation_Priv-house-serv,occupation,-1.5859962888725088,1.5859962888725088,decreases P(>50K)
native-country_South,native-country,-1.4364881601605073,1.4364881601605073,decreases P(>50K)
marital-status_Married-civ-spouse,marital-status,1.4241137991751527,1.4241137991751527,increases P(>50K)
marital-status_Married-AF-spouse,marital-status,1.2081716396723214,1.2081716396723214,increases P(>50K)
native-country_Columbia,native-country,-1.1823910305432714,1.1823910305432714,decreases P(>50K)
marital-status_Never-married,marital-status,-1.117823637444602,1.117823637444602,decreases P(>50K)
native-country_France,native-country,1.05956407966965,1.05956407966965,increases P(>50K)
relationship_Own-child,relationship,-1.003530542854546,1.003530542854546,decreases P(>50K)
sex_Female,sex,-0.9239372090610438,0.9239372090610438,decreases P(>50K)
relationship_Wife,relationship,0.9234719793847131,0.9234719793847131,increases P(>50K)
occupation_Farming-fishing,occupation,-0.8906511278948025,0.8906511278948025,decreases P(>50K)
native-country_Cambodia,native-country,0.8718303369117105,0.8718303369117105,increases P(>50K)
relationship_Other-relative,relationship,-0.8618944628250476,0.8618944628250476,decreases P(>50K)
marital-status_Separated,marital-status,-0.8022993870810915,0.8022993870810915,decreases P(>50K)
occupation_Exec-managerial,occupation,0.7962969302269011,0.7962969302269011,increases P(>50K)
occupation_Other-service,occupation,-0.7911941754694057,0.7911941754694057,decreases P(>50K)
education-num,education-num,0.775336529295423,0.775336529295423,increases P(>50K)
native-country_Dominican-Republic,native-country,-0.7648125229605965,0.7648125229605965,decreases P(>50K)
native-country_Italy,native-country,0.7400836647642054,0.7400836647642054,increases P(>50K)
native-country_Portugal,native-country,0.665872537835454,0.665872537835454,increases P(>50K)
native-country_Ireland,native-country,0.6558064971846428,0.6558064971846428,increases P(>50K)
marital-status_Divorced,marital-status,-0.6484226810387973,0.6484226810387973,decreases P(>50K)
marital-status_Married-spouse-absent,marital-status,-0.6224421607344979,0.6224421607344979,decreases P(>50K)
native-country_China,native-country,-0.6221580131253425,0.6221580131253425,decreases P(>50K)
native-country_England,native-country,0.6140477910436131,0.6140477910436131,increases P(>50K)
native-country_Laos,native-country,-0.6120302392847711,0.6120302392847711,decreases P(>50K)
native-country_El-Salvador,native-country,-0.6100010348800307,0.6100010348800307,decreases P(>50K)
occupation_Handlers-cleaners,occupation,-0.6018827617462595,0.6018827617462595,decreases P(>50K)
native-country_Scotland,native-country,-0.5973390071097079,0.5973390071097079,decreases P(>50K)
native-country_Canada,native-country,0.5894346591418161,0.5894346591418161,increases P(>50K)
native-country_Yugoslavia,native-country,0.5869868026058065,0.5869868026058065,increases P(>50K)
occupation_Tech-support,occupation,0.573470724985616,0.573470724985616,increases P(>50K)
workclass_Self-emp-not-inc,workclass,-0.570265532234513,0.570265532234513,decreases P(>50K)
