model,attribute,group,is_reference,reference_group,n_samples,n_actual_positive,n_actual_negative,actual_positive_rate,selection_rate,predicted_positive_rate,tpr,fpr,precision,recall,f1,accuracy,true_positives,false_positives,false_negatives,true_negatives,selection_rate_ci95,tpr_ci95,small_group_flag,demographic_parity_difference,demographic_parity_ratio,disparate_impact_ratio,fails_four_fifths_rule,equal_opportunity_difference,equalized_odds_tpr_difference,equalized_odds_fpr_difference,equalized_odds_max_difference
logistic_regression,sex,Male,True,Male,6480,1971,4509,0.30416666666666664,0.2544753086419753,0.2544753086419753,0.6128868594622019,0.09780439121756487,0.7325651910248635,0.6128868594622019,0.6674033149171269,0.8141975308641975,1208,441,763,4068,0.010748612810333458,0.02170392157036427,False,0.0,1.0,1.0,False,0.0,0.0,0.0,0.0
logistic_regression,sex,Female,False,Male,3289,367,2922,0.11158406810580723,0.07601094557616296,0.07601094557616296,0.49318801089918257,0.023613963039014373,0.724,0.49318801089918257,0.586709886547812,0.9224688355123137,181,69,186,2853,0.009560102396710804,0.050955822043456334,False,-0.17846436306581237,0.2986967418638787,0.2986967418638787,True,-0.11969884856301932,-0.11969884856301932,-0.0741904281785505,0.11969884856301932
logistic_regression,race,White,True,White,8348,2119,6229,0.25383325347388597,0.20855294681360806,0.20855294681360806,0.6045304388862671,0.07384812971584524,0.7357840321654222,0.6045304388862671,0.6637305699481865,0.8445136559655008,1281,460,838,5769,0.008848415865879256,0.020990002522410345,False,0.0,1.0,1.0,False,0.0,0.0,0.0,0.0
logistic_regression,race,Black,False,White,944,121,823,0.1281779661016949,0.06885593220338983,0.06885593220338983,0.39669421487603307,0.020656136087484813,0.7384615384615385,0.39669421487603307,0.5161290322580645,0.9046610169491526,48,17,73,806,0.017961944712066177,0.08905471425476952,False,-0.13969701461021822,0.3301604376989651,0.3301604376989651,True,-0.20783622401023405,-0.20783622401023405,-0.053191993628360426,0.20783622401023405
logistic_regression,race,Asian-Pac-Islander,False,White,304,78,226,0.2565789473684211,0.26644736842105265,0.26644736842105265,0.6538461538461539,0.13274336283185842,0.6296296296296297,0.6538461538461539,0.6415094339622641,0.8125,51,30,27,196,0.05238759023057049,0.11054628135057953,False,0.057894421607444596,1.2776005925209348,1.2776005925209348,False,0.049315714959886736,0.049315714959886736,0.058895233116013176,0.058895233116013176
logistic_regression,race,Amer-Indian-Eskimo,False,White,104,9,95,0.08653846153846154,0.0673076923076923,0.0673076923076923,0.5555555555555556,0.021052631578947368,0.7142857142857143,0.5555555555555556,0.6250000000000001,0.9423076923076923,5,2,4,93,0.0651516876412319,0.2889082098115259,True,-0.14124525450591574,0.3227367118808819,0.3227367118808819,True,-0.04897488333071154,-0.04897488333071154,-0.05279549813689788,0.05279549813689788
logistic_regression,race,Other,False,White,69,11,58,0.15942028985507245,0.07246376811594203,0.07246376811594203,0.36363636363636365,0.017241379310344827,0.8,0.36363636363636365,0.5000000000000001,0.8840579710144928,4,1,7,57,0.08621220606488648,0.2825668594719991,True,-0.136089178697666,0.3474598140332476,0.3474598140332476,True,-0.24089407524990347,-0.24089407524990347,-0.056606750405500415,0.24089407524990347
random_forest,sex,Male,True,Male,6480,1971,4509,0.30416666666666664,0.2478395061728395,0.2478395061728395,0.6387620497209539,0.07695719671767576,0.7839352428393525,0.6387620497209539,0.703941850712888,0.836574074074074,1259,347,712,4162,0.010659923990643416,0.02145800072725379,False,0.0,1.0,1.0,False,0.0,0.0,0.0,0.0
random_forest,sex,Female,False,Male,3289,367,2922,0.11158406810580723,0.07601094557616296,0.07601094557616296,0.5313351498637602,0.018822724161533196,0.78,0.5313351498637602,0.6320907617504051,0.930982061416844,195,55,172,2867,0.009560102396710804,0.051115537271947065,False,-0.17182856059667656,0.30669422623507847,0.30669422623507847,True,-0.10742689985719367,-0.10742689985719367,-0.05813447255614256,0.10742689985719367
random_forest,race,White,True,White,8348,2119,6229,0.25383325347388597,0.2020843315764255,0.2020843315764255,0.6262387918829636,0.05779418847327019,0.7866034380557202,0.6262387918829636,0.697320021019443,0.8620028749401054,1327,360,792,5869,0.008750236416994295,0.02081061631293779,False,0.0,1.0,1.0,False,0.0,0.0,0.0,0.0
